OrderNo,OrderedQuantity,Price,OrderLineNumber,TotalSales,OrderDate,OrderStatus,Month,Quarter,Year,ProductLine,MSRP,ProductCode,CustomerName,CustomerPhone,CustomerAddress,City,State,PostalCode,Country,Geography,SalesContactFName,SalesContactLName,AvgDealSize
10322,27,100,9,4784.13,2004-11-04,Shipped,11,4,2004,TrucksandBuses,136,S121666,OnlineDiecastCreationsCo,6035558647,2304LongAirportAvenue,Nashua,NH,62005,USA,NA,Valarie,Young,Medium
10406,61,100,3,8374.69,2005-04-15,Disputed,4,2,2005,ClassicCars,141,S181129,DanishWholesaleImports,31123555,Vinbltet34,Kobenhavn,"",1734,Denmark,EMEA,Jytte,Petersen,Large
10246,36,100,9,7132.68,2004-05-05,Shipped,5,2,2004,ClassicCars,169,S183232,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Large
10146,47,67.14,2,3155.58,2003-09-03,Shipped,9,3,2003,Motorcycles,62,S183782,GiftIdeasCorp,2035554407,2440PomptonSt,Glendale,CT,97561,USA,NA,Dan,Lewis,Medium
10177,32,76.62,1,2451.84,2003-11-07,Shipped,11,4,2003,Ships,72,S7002610,CAFImports,34913728555,MerchantsHouse2730MerchantsQuay,Madrid,"",28023,Spain,EMEA,Jesus,Fernandez,Small
10389,25,72.38,6,1809.5,2005-03-03,Shipped,3,1,2005,ClassicCars,117,S123380,ScandinavianGiftIdeas,0695346555,kergatan24,Boras,"",S-84467,Sweden,EMEA,Maria,Larsson,Small
10321,37,78.54,14,2905.98,2004-11-04,Shipped,11,4,2004,ClassicCars,77,S181889,FunGiftIdeascom,5085552555,1785FirstStreet,NewBedford,MA,50553,USA,NA,Violeta,Benitez,Small
10117,26,100,5,3551.34,2003-04-16,Shipped,4,2,2003,VintageCars,136,S183140,DragonSouveniersLtd,652217555,BronzSokBronzApt36Tesvikiye,Singapore,"",79903,Singapore,Japan,Eric,Natividad,Medium
10412,47,61.99,11,2913.53,2005-05-03,Shipped,5,2,2005,TrucksandBuses,60,S182432,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10321,30,70.55,3,2116.5,2004-11-04,Shipped,11,4,2004,ClassicCars,73,S241046,FunGiftIdeascom,5085552555,1785FirstStreet,NewBedford,MA,50553,USA,NA,Violeta,Benitez,Small
10204,42,100,17,6182.4,2003-12-02,Shipped,12,4,2003,ClassicCars,141,S181129,MuscleMachineInc,2125557413,4092FurthCircle,NYC,NY,10022,USA,NA,Jeff,Young,Medium
10263,42,100,3,4307.52,2004-06-28,Shipped,6,2,2004,Motorcycles,112,S241578,GiftDepotInc,2035552570,25593SouthBayLn,Bridgewater,CT,97562,USA,NA,Julie,King,Medium
10332,27,89.89,16,2427.03,2004-11-17,Shipped,11,4,2004,VintageCars,53,S181367,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Small
10276,48,100,8,5713.92,2004-08-02,Shipped,8,3,2004,ClassicCars,148,S184721,OnlineMiniCollectables,6175557555,7635SpinnakerDr,Brickhaven,MA,58339,USA,NA,Miguel,Barajas,Medium
10343,25,52.32,3,1308,2004-11-24,Shipped,11,4,2004,ClassicCars,132,S182870,ReimsCollectables,26471555,59ruedelAbbaye,Reims,"",51100,France,EMEA,Paul,Henriot,Small
10222,36,63.34,18,2280.24,2004-02-19,Shipped,2,1,2004,Ships,54,S723212,CollectableMiniDesignsCo,7605558146,361FurthCircle,SanDiego,CA,91217,USA,NA,Valarie,Thompson,Small
10292,26,100,7,4554.94,2004-09-08,Shipped,9,3,2004,ClassicCars,163,S182238,LandofToysInc,2125557818,897LongAirportAvenue,NYC,NY,10022,USA,NA,Kwai,Yu,Medium
10372,24,58.58,9,1405.92,2005-01-26,Shipped,1,1,2005,Trains,58,S501514,TokyoCollectablesLtd,81335840555,228Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Akiko,Shimamura,Small
10308,34,100,2,4043.96,2004-10-15,Shipped,10,4,2004,Motorcycles,118,S102016,MiniClassics,9145554562,3758NorthPendaleStreet,WhitePlains,NY,24067,USA,NA,Steve,Frick,Medium
10419,34,100,4,4594.76,2005-05-17,Shipped,5,2,2005,ClassicCars,142,S181984,SalzburgCollectables,65629555,Geislweg14,Salzburg,"",5020,Austria,EMEA,Georg,Pipps,Medium
10235,40,81.14,4,3245.6,2004-04-02,Shipped,4,2,2004,Planes,72,S244278,RoyalCanadianCollectablesLtd,6045554555,23TsawassenBlvd,Tsawassen,BC,T2F8M4,Canada,NA,Elizabeth,Lincoln,Medium
10263,48,100,1,6434.4,2004-06-28,Shipped,6,2,2004,Motorcycles,150,S122823,GiftDepotInc,2035552570,25593SouthBayLn,Bridgewater,CT,97562,USA,NA,Julie,King,Medium
10193,21,100,14,3141.6,2003-11-21,Shipped,11,4,2003,VintageCars,170,S181749,AustralianCollectablesLtd,61938446555,7AllenStreet,GlenWaverly,Victoria,3150,Australia,APAC,Sean,Connery,Medium
10262,49,37.97,3,1860.53,2004-06-24,Cancelled,6,2,2004,VintageCars,43,S501341,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10401,38,96.29,5,3659.02,2005-04-03,OnHold,4,2,2005,Planes,109,S241785,TekniCollectablesInc,2015559350,7476MossRd,Newark,NJ,94019,USA,NA,William,Brown,Medium
10153,20,100,3,2204.6,2003-09-28,Shipped,9,3,2003,Ships,99,S7003962,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10229,26,100,4,3765.32,2004-03-11,Shipped,3,1,2004,TrucksandBuses,122,S182319,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Medium
10347,45,100,11,4948.2,2004-11-29,Shipped,11,4,2004,VintageCars,104,S183136,AustralianCollectorsCo,0395204555,636StKildaRoad,Melbourne,Victoria,3004,Australia,APAC,Peter,Ferguson,Medium
10332,40,39.8,18,1592,2004-11-17,Shipped,11,4,2004,VintageCars,104,S183136,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Small
10390,22,100,13,3491.18,2005-03-04,Shipped,3,1,2005,Motorcycles,81,S504713,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Medium
10238,49,100,5,6554.24,2004-04-09,Shipped,4,2,2004,ClassicCars,146,S183482,DanishWholesaleImports,31123555,Vinbltet34,Kobenhavn,"",1734,Denmark,EMEA,Jytte,Petersen,Medium
10310,33,100,10,6934.62,2004-10-16,Shipped,10,4,2004,ClassicCars,194,S121099,TomsSpezialittenLtd,02215554327,Mehrheimerstr369,Koln,"",50739,Germany,EMEA,Henriette,Pfalzheim,Medium
10299,44,80.55,5,3544.2,2004-09-30,Shipped,9,3,2004,Motorcycles,81,S504713,ToysofFinlandCo,902248555,Keskuskatu45,Helsinki,"",21240,Finland,EMEA,Matti,Karttunen,Medium
10400,64,100,9,9661.44,2005-04-01,Shipped,4,2,2005,ClassicCars,136,S104757,TheSharpGiftsWarehouse,4085553659,3086IngleLn,SanJose,CA,94217,USA,NA,Sue,Frick,Large
10321,41,100,10,5803.14,2004-11-04,Shipped,11,4,2004,ClassicCars,141,S181129,FunGiftIdeascom,5085552555,1785FirstStreet,NewBedford,MA,50553,USA,NA,Violeta,Benitez,Medium
10124,46,33.23,4,1528.58,2003-05-21,Shipped,5,2,2003,VintageCars,41,S243969,SignalGiftStores,7025551838,8489StrongSt,LasVegas,NV,83030,USA,NA,Sue,King,Small
10225,37,95.69,12,3540.53,2004-02-22,Shipped,2,1,2004,ClassicCars,80,S183278,VidaSportLtd,0897034555,Grenzacherweg237,Gensve,"",1203,Switzerland,EMEA,Michael,Holz,Medium
10253,23,83.93,9,1930.39,2004-06-01,Cancelled,6,2,2004,ClassicCars,77,S181889,UKCollectablesLtd,1715552282,BerkeleyGardens12Brewery,Liverpool,"",WX16LT,UK,EMEA,Elizabeth,Devon,Small
10373,46,66,11,3036,2005-01-31,Shipped,1,1,2005,VintageCars,65,S243420,OuluToySuppliesInc,981443655,Torikatu38,Oulu,"",90110,Finland,EMEA,Pirkko,Koskitalo,Medium
10210,40,71,8,2840,2004-01-12,Shipped,1,1,2004,Planes,72,S244278,OsakaSouveniersCo,810663425555,DojimaAvanza4F1620DojimaKitaku,Osaka,Osaka,530-0003,Japan,Japan,Mory,Kentary,Small
10177,50,100,7,6083,2003-11-07,Shipped,11,4,2003,Ships,122,S242011,CAFImports,34913728555,MerchantsHouse2730MerchantsQuay,Madrid,"",28023,Spain,EMEA,Jesus,Fernandez,Medium
10273,21,65.34,7,1372.14,2004-07-21,Shipped,7,3,2004,Ships,66,S7001138,PetitAuto,02555467,RueJosephBens532,Bruxelles,"",B-1180,Belgium,EMEA,Catherine,Dewey,Small
10224,50,77.29,3,3864.5,2004-02-21,Shipped,2,1,2004,Motorcycles,81,S504713,DaedalusDesignsImports,20161555,184chaussedeTournai,Lille,"",59000,France,EMEA,Martine,Rance,Medium
10176,50,100,1,7872.5,2003-11-06,Shipped,11,4,2003,ClassicCars,173,S123891,LordineSouveniers,0522556555,StradaProvinciale124,ReggioEmilia,"",42100,Italy,EMEA,Maurizio,Moroni,Large
10253,33,100,4,4459.62,2004-06-01,Cancelled,6,2,2004,ClassicCars,142,S181984,UKCollectablesLtd,1715552282,BerkeleyGardens12Brewery,Liverpool,"",WX16LT,UK,EMEA,Elizabeth,Devon,Medium
10400,58,100,6,7307.42,2005-04-01,Shipped,4,2,2005,VintageCars,105,S183856,TheSharpGiftsWarehouse,4085553659,3086IngleLn,SanJose,CA,94217,USA,NA,Sue,Frick,Large
10247,49,63.85,4,3128.65,2004-05-05,Shipped,5,2,2004,Trains,58,S501514,SuominenSouveniers,35898045555,SoftwareEngineeringCenterSECOy,Espoo,"",FIN-02271,Finland,EMEA,Kalle,Suominen,Medium
10122,39,30.96,4,1207.44,2003-05-08,Shipped,5,2,2003,ClassicCars,37,S242972,MarseilleMiniAutos,91244555,12ruedesBouchers,Marseille,"",13008,France,EMEA,Laurence,Lebihan,Small
10225,42,36.63,3,1538.46,2004-02-22,Shipped,2,1,2004,ClassicCars,37,S242972,VidaSportLtd,0897034555,Grenzacherweg237,Gensve,"",1203,Switzerland,EMEA,Michael,Holz,Small
10133,24,77.64,8,1863.36,2003-06-27,Shipped,6,2,2003,Planes,91,S7001691,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10337,42,97.16,5,4080.72,2004-11-21,Shipped,11,4,2004,Ships,54,S723212,ClassicLegendsInc,2125558493,5905PomptonSt,NYC,NY,10022,USA,NA,Maria,Hernandez,Medium
10256,29,51.75,1,1500.75,2004-06-08,Shipped,6,2,2004,VintageCars,53,S181367,DanishWholesaleImports,31123555,Vinbltet34,Kobenhavn,"",1734,Denmark,EMEA,Jytte,Petersen,Small
10367,27,100,5,4196.07,2005-01-12,Resolved,1,1,2005,VintageCars,127,S182325,Toys4GrownUpscom,6265557265,78934HillsideDr,Pasadena,CA,90003,USA,NA,Julie,Young,Medium
10182,44,100,10,7554.8,2003-11-12,Shipped,11,4,2003,VintageCars,170,S181749,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Large
10110,27,73.62,12,1987.74,2003-03-18,Shipped,3,1,2003,ClassicCars,85,S243191,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Small
10284,50,81.86,4,4093,2004-08-21,Shipped,8,3,2004,VintageCars,68,S324289,NorwayGiftsByMailCo,4722121555,Drammensveien126APB744Sentrum,Oslo,"",N0106,Norway,EMEA,Jan,Klaeboe,Medium
10332,20,87.96,5,1759.2,2004-11-17,Shipped,11,4,2004,ClassicCars,50,S241628,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Small
10162,48,91.44,2,4389.12,2003-10-18,Shipped,10,4,2003,VintageCars,102,S181342,CorporateGiftIdeasCo,6505551386,7734StrongSt,SanFrancisco,CA,"",USA,NA,Julie,Brown,Medium
10106,41,100,17,4774.86,2003-02-17,Shipped,2,1,2003,VintageCars,105,S183856,RovelliGifts,035640555,ViaLudovicoilMoro22,Bergamo,"",24100,Italy,EMEA,Giovanni,Rovelli,Medium
10306,39,90.4,8,3525.6,2004-10-14,Shipped,10,4,2004,VintageCars,87,S184522,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Medium
10400,24,61.66,2,1479.84,2005-04-01,Shipped,4,2,2005,Planes,68,S242841,TheSharpGiftsWarehouse,4085553659,3086IngleLn,SanJose,CA,94217,USA,NA,Sue,Frick,Small
10165,31,71.1,18,2204.1,2003-10-22,Shipped,10,4,2003,TrucksandBuses,60,S182432,DragonSouveniersLtd,652217555,BronzSokBronzApt36Tesvikiye,Singapore,"",79903,Singapore,Japan,Eric,Natividad,Small
10211,22,92.16,6,2027.52,2004-01-15,Shipped,1,1,2004,ClassicCars,80,S244620,AutoCanalPetit,147556555,25rueLauriston,Paris,"",75016,France,EMEA,Dominique,Perrier,Small
10330,29,69.63,2,2019.27,2004-11-16,Shipped,11,4,2004,Motorcycles,62,S183782,CruzSonsCo,6325553587,15McCallumStreetNatWestCenter1303,MakatiCity,"",1227MM,Philippines,Japan,Arnold,Cruz,Small
10292,35,55.07,1,1927.45,2004-09-08,Shipped,9,3,2004,Trains,58,S501514,LandofToysInc,2125557818,897LongAirportAvenue,NYC,NY,10022,USA,NA,Kwai,Yu,Small
10150,34,100,7,4641,2003-09-19,Shipped,9,3,2003,TrucksandBuses,116,S181097,DragonSouveniersLtd,652217555,BronzSokBronzApt36Tesvikiye,Singapore,"",79903,Singapore,Japan,Eric,Natividad,Medium
10239,47,100,1,7083.37,2004-04-12,Shipped,4,2,2004,ClassicCars,169,S183232,OuluToySuppliesInc,981443655,Torikatu38,Oulu,"",90110,Finland,EMEA,Pirkko,Koskitalo,Large
10147,31,64.67,11,2004.77,2003-09-05,Shipped,9,3,2003,ClassicCars,80,S244620,CollectablesForLessInc,6175558555,7825DouglasAv,Brickhaven,MA,58339,USA,NA,Allen,Nelson,Small
10151,39,69.28,9,2701.92,2003-09-21,Shipped,9,3,2003,TrucksandBuses,60,S182432,OuluToySuppliesInc,981443655,Torikatu38,Oulu,"",90110,Finland,EMEA,Pirkko,Koskitalo,Small
10163,42,91.55,5,3845.1,2003-10-20,Shipped,10,4,2003,VintageCars,97,S244258,ClassicLegendsInc,2125558493,5905PomptonSt,NYC,NY,10022,USA,NA,Maria,Hernandez,Medium
10349,26,100,10,4408.56,2004-12-01,Shipped,12,4,2004,ClassicCars,173,S123891,MuscleMachineInc,2125557413,4092FurthCircle,NYC,NY,10022,USA,NA,Jeff,Young,Medium
10348,37,100,1,5981.42,2004-11-01,Shipped,11,4,2004,TrucksandBuses,127,S242300,CorridaAutoReplicasLtd,915552282,CAraquil67,Madrid,"",28023,Spain,EMEA,Mart¡n,Sommer,Medium
10182,39,36.84,6,1436.76,2003-11-12,Shipped,11,4,2003,VintageCars,33,S241937,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Small
10220,37,100,9,3983.05,2004-02-12,Shipped,2,1,2004,TrucksandBuses,115,S501392,CloverCollectionsCo,35318621555,25MaidenLane,Dublin,"",2,Ireland,EMEA,Dean,Cassidy,Medium
10329,20,100,2,3176,2004-11-15,Shipped,11,4,2004,Motorcycles,118,S102016,LandofToysInc,2125557818,897LongAirportAvenue,NYC,NY,10022,USA,NA,Kwai,Yu,Medium
10371,48,56.55,10,2714.4,2005-01-23,Shipped,1,1,2005,TrucksandBuses,115,S501392,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Small
10124,22,45.25,1,995.5,2003-05-21,Shipped,5,2,2003,VintageCars,44,S242022,SignalGiftStores,7025551838,8489StrongSt,LasVegas,NV,83030,USA,NA,Sue,King,Small
10361,33,82.59,3,2725.47,2004-12-17,Shipped,12,4,2004,VintageCars,43,S501341,SouveniersAndThingsCo,61294958555,MonitorMoneyBuilding815PacificHwy,Chatswood,NSW,2067,Australia,APAC,Adrian,Huxley,Small
10110,20,35.51,3,710.2,2003-03-18,Shipped,3,1,2003,VintageCars,33,S241937,AVStoresCo,1715551555,FauntleroyCircus,Manchester,"",EC25NT,UK,EMEA,Victoria,Ashworth,Small
10308,43,76.43,16,3286.49,2004-10-15,Shipped,10,4,2004,Planes,68,S243949,MiniClassics,9145554562,3758NorthPendaleStreet,WhitePlains,NY,24067,USA,NA,Steve,Frick,Medium
10423,10,88.14,1,881.4,2005-05-30,InProcess,5,2,2005,VintageCars,101,S182949,PetitAuto,02555467,RueJosephBens532,Bruxelles,"",B-1180,Belgium,EMEA,Catherine,Dewey,Small
10355,23,100,7,3177.91,2004-12-07,Shipped,12,4,2004,ClassicCars,146,S183482,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Medium
10148,29,81.25,2,2356.25,2003-09-11,Shipped,9,3,2003,ClassicCars,71,S184933,AnnasDecorationsLtd,0299368555,201MillerStreet,NorthSydney,NSW,2060,Australia,APAC,Anna,"O'Hara",Small
10128,41,100,4,4837.18,2003-06-06,Shipped,6,2,2003,Trains,100,S183259,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Medium
10424,54,100,5,7182,2005-05-31,InProcess,5,2,2005,TrucksandBuses,116,S181097,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Large
10172,48,100,8,5493.12,2003-11-05,Shipped,11,4,2003,ClassicCars,141,S183685,GiftDepotInc,2035552570,25593SouthBayLn,Bridgewater,CT,97562,USA,NA,Julie,King,Medium
10176,29,100,7,2915.66,2003-11-06,Shipped,11,4,2003,ClassicCars,118,S244048,LordineSouveniers,0522556555,StradaProvinciale124,ReggioEmilia,"",42100,Italy,EMEA,Maurizio,Moroni,Small
10193,28,93.21,1,2609.88,2003-11-21,Shipped,11,4,2003,VintageCars,101,S182949,AustralianCollectablesLtd,61938446555,7AllenStreet,GlenWaverly,Victoria,3150,Australia,APAC,Sean,Connery,Small
10378,49,67.14,8,3289.86,2005-02-10,Shipped,2,1,2005,ClassicCars,148,S184721,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Medium
10336,33,57.22,10,1888.26,2004-11-20,Shipped,11,4,2004,ClassicCars,207,S121108,LaCorneDabondanceCo,142342555,265boulevardCharonne,Paris,"",75012,France,EMEA,Marie,Bertrand,Small
10169,48,80.55,10,3866.4,2003-11-04,Shipped,11,4,2003,Motorcycles,81,S504713,AnnasDecorationsLtd,0299368555,201MillerStreet,NorthSydney,NSW,2060,Australia,APAC,Anna,"O'Hara",Medium
10380,21,47.18,8,990.78,2005-02-16,Shipped,2,1,2005,VintageCars,168,S182795,EuroShoppingChannel,915559444,CMoralzarzal86,Madrid,"",28034,Spain,EMEA,Diego,Freyre,Small
10313,27,87.64,6,2366.28,2004-10-22,Shipped,10,4,2004,TrucksandBuses,96,S321268,CanadianGiftExchangeNetwork,6045553392,1900OakSt,Vancouver,BC,V3F2K1,Canada,NA,Yoshi,Tannamuri,Small
10282,41,100,5,7071.27,2004-08-20,Shipped,8,3,2004,ClassicCars,207,S121108,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Large
10348,42,100,3,6386.94,2004-11-01,Shipped,11,4,2004,TrucksandBuses,96,S321268,CorridaAutoReplicasLtd,915552282,CAraquil67,Madrid,"",28023,Spain,EMEA,Mart¡n,Sommer,Medium
10324,20,98.18,11,1963.6,2004-11-05,Shipped,11,4,2004,TrucksandBuses,96,S321268,VitachromeInc,2125551500,2678KingstonRd,NYC,NY,10022,USA,NA,Michael,Frick,Small
10182,38,61.15,9,2323.7,2003-11-12,Shipped,11,4,2003,VintageCars,60,S182248,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Small
10316,34,63.71,10,2166.14,2004-11-01,Shipped,11,4,2004,Planes,68,S242841,giftsbymailcouk,1985558888,GardenHouseCrowtherWay,Cowes,IsleofWight,PO317PJ,UK,EMEA,Helen,Bennett,Small
10181,23,65.52,13,1506.96,2003-11-12,Shipped,11,4,2003,ClassicCars,61,S243371,HerkkuGifts,4722673215,Drammen121PR744Sentrum,Bergen,"",N5804,Norway,EMEA,Veysel,Oeztan,Small
10371,20,100,5,3449.4,2005-01-23,Shipped,1,1,2005,TrucksandBuses,127,S242300,MiniGiftsDistributorsLtd,4155551450,5677StrongSt,SanRafael,CA,97562,USA,NA,Valarie,Nelson,Medium
